objectid,title,display_template,format,date,description,location,subject,latitude,longitude,object_location,image_small,image_thumb,image_alt_text
tinkhamtown_teacher_certificate_1894,"Teaching Certificate, Tinkhamtown School",image,image/jpeg,1894,Certificate appointing Ethel W. Westgate teacher of the Tinkhamtown School for three months at $22 a month. Courtesy of the Mattapoisett Museum (0500.3.495).,"Mattapoisett, Massachusetts",District schools,41.6840,-70.8100,https://d8e7jbdw4fu0e.cloudfront.net/6742/f446d660-07de-11ec-8463-151a599f2d68-vdW7jAu.lg-nt@2x.jpg,https://d8e7jbdw4fu0e.cloudfront.net/6742/f446d660-07de-11ec-8463-151a599f2d68-vdW7jAu.sm@2x.jpg,https://d3f1jyudfg58oi.cloudfront.net/6742/image/f446d660-07de-11ec-8463-151a599f2d68-tHn6vDl.tn@2x.JPG,Ornate 1894 printed certificate appointing the teacher of the Tinkhamtown School.
teeweelema_news_1913,"""Indian Princesses, Massasoit's Kin"" article",image,image/jpeg,1913,"1913 newspaper article on Teeweelema and her family's effort to keep their land at Lake Assawompset, framed in the period's romanticizing idiom. Courtesy of the Mattapoisett Museum (0500.2.58).","Lakeville, Massachusetts",Wampanoag;Land,41.8380,-70.9300,https://d8e7jbdw4fu0e.cloudfront.net/6742/787b9400-07e6-11ec-8463-151a599f2d68-vdW7lEC.lg-nt@2x.jpg,https://d8e7jbdw4fu0e.cloudfront.net/6742/787b9400-07e6-11ec-8463-151a599f2d68-vdW7lEC.sm@2x.jpg,https://d3f1jyudfg58oi.cloudfront.net/6742/image/787b9400-07e6-11ec-8463-151a599f2d68-tHnj3Fn.tn@2x.JPG,"1913 newspaper page headlined ""Indian Princesses, Massasoit's Kin, Live at Lake Assawompset."""
mortar_pestle_massy,"Samp Mortar and Pestle (""Aunt Massy"")",image,image/jpeg,,"Wampanoag samp mortar and pestle associated with ""Aunt Massy,"" a Native woman who lived and died at Capt. Nathaniel Hammond's house in the early 1800s. Courtesy of the Mattapoisett Museum (1959.36.1).","Mattapoisett, Massachusetts",Wampanoag;Foodways,41.6620,-70.8450,https://d8e7jbdw4fu0e.cloudfront.net/6742/58b2eb50-07d2-11ec-8463-151a599f2d68-vdW7rG2.lg-nt@2x.jpg,https://d8e7jbdw4fu0e.cloudfront.net/6742/58b2eb50-07d2-11ec-8463-151a599f2d68-vdW7rG2.sm@2x.jpg,https://d3f1jyudfg58oi.cloudfront.net/6742/image/58b2eb50-07d2-11ec-8463-151a599f2d68-tHnJO7O.tn@2x.JPG,A large carved wooden samp mortar and pestle.
hammondtown_school_1869,Hammondtown School,image,image/jpeg,1869,"Print of the Hammondtown school at River and Acushnet Roads, after a c.1869 painting by Clelia Lega Weeks; believed the oldest schoolhouse in town. Courtesy of the Mattapoisett Museum (0900.9.17).","Mattapoisett, Massachusetts",District schools,41.6650,-70.8550,https://d8e7jbdw4fu0e.cloudfront.net/6742/605e6a60-07b8-11ec-8463-151a599f2d68-vdW79jg.lg-nt@2x.jpg,https://d8e7jbdw4fu0e.cloudfront.net/6742/605e6a60-07b8-11ec-8463-151a599f2d68-vdW79jg.sm@2x.jpg,https://d3f1jyudfg58oi.cloudfront.net/6742/image/605e6a60-07b8-11ec-8463-151a599f2d68-tHmY0h6.tn@2x.JPG,"A small gable-roofed schoolhouse beside a dirt road, from a 19th-century painting."
center_school_classroom,Center School Classroom,image,image/jpeg,,Schoolchildren at their desks; the named roster mixes Yankee and Portuguese/Azorean families. Likely the Center School; the Museum record does not name the building. Courtesy of the Mattapoisett Museum (0900.9.90).,"Mattapoisett, Massachusetts",Consolidation,41.6584,-70.8203,https://d8e7jbdw4fu0e.cloudfront.net/6742/0e1420d0-07e8-11ec-84ff-e564088d1053-vdW7m8I.lg-nt@2x.jpg,https://d8e7jbdw4fu0e.cloudfront.net/6742/0e1420d0-07e8-11ec-84ff-e564088d1053-vdW7m8I.sm@2x.jpg,https://d3f1jyudfg58oi.cloudfront.net/6742/image/0e1420d0-07e8-11ec-84ff-e564088d1053-tHnmZva.tn@2x.jpg,About two dozen schoolchildren seated at wooden desks in a classroom.
center_school_desk,Center School Desk,image,image/jpeg,1898,"Oak two-student desk from the Mattapoisett Center School, possibly from the 1898-99 construction. Courtesy of the Mattapoisett Museum (2021.1.1).","Mattapoisett, Massachusetts",Consolidation,41.6584,-70.8203,https://d8e7jbdw4fu0e.cloudfront.net/6742/b238b5a0-07ec-11ec-84ff-e564088d1053-vdW7qAv.lg-nt@2x.jpg,https://d8e7jbdw4fu0e.cloudfront.net/6742/b238b5a0-07ec-11ec-84ff-e564088d1053-vdW7qAv.sm@2x.jpg,https://d3f1jyudfg58oi.cloudfront.net/6742/image/b238b5a0-07ec-11ec-84ff-e564088d1053-tHnuidh.tn@2x.jpg,An oak two-student school desk.
barstow_classroom,Barstow School Classroom,image,image/jpeg,,"Interior of a classroom in the Barstow School (the 1816 meeting-house that became Mattapoisett Academy, then the Barstow School in 1870). Courtesy of the Mattapoisett Museum (0900.9.29).","Mattapoisett, Massachusetts",Academies,41.6595,-70.8185,https://d8e7jbdw4fu0e.cloudfront.net/6742/2d9c8bd0-07b2-11ec-8463-151a599f2d68-vdW789V.lg-nt@2x.jpg,https://d8e7jbdw4fu0e.cloudfront.net/6742/2d9c8bd0-07b2-11ec-8463-151a599f2d68-vdW789V.sm@2x.jpg,https://d3f1jyudfg58oi.cloudfront.net/6742/image/2d9c8bd0-07b2-11ec-8463-151a599f2d68-tHmNPqg.tn@2x.JPG,Students in a 19th-century classroom interior.
barstow_school_journal,Barstow High School Weekly Journal,image,image/jpeg,1885,"Handwritten student newspaper of the Barstow High School, edited by Lemuel LeBaron Dexter, with subscriber lists, 1885-1886. Courtesy of the Mattapoisett Museum (0500.2.131).","Mattapoisett, Massachusetts",Academies;Student media,41.6595,-70.8185,https://d8e7jbdw4fu0e.cloudfront.net/6742/5c3f0f60-07be-11ec-8463-151a599f2d68-vdW6pe6.lg-nt@2x.jpg,https://d8e7jbdw4fu0e.cloudfront.net/6742/5c3f0f60-07be-11ec-8463-151a599f2d68-vdW6pe6.sm@2x.jpg,https://d3f1jyudfg58oi.cloudfront.net/6742/image/5c3f0f60-07be-11ec-8463-151a599f2d68-tHm9LWW.tn@2x.JPG,A page of a handwritten student newspaper.
barstow_report_cards,Barstow School Report Cards,image,image/jpeg,1884,"Report cards and entrance-exam marks for Lemuel LeBaron Dexter entering the Barstow School, 1884-1887. Courtesy of the Mattapoisett Museum (0500.2.130).","Mattapoisett, Massachusetts",Academies,41.6595,-70.8185,https://d8e7jbdw4fu0e.cloudfront.net/6742/5c23d550-07b5-11ec-8463-151a599f2d68-vdW79AR.lg-nt@2x.jpg,https://d8e7jbdw4fu0e.cloudfront.net/6742/5c23d550-07b5-11ec-8463-151a599f2d68-vdW79AR.sm@2x.jpg,https://d3f1jyudfg58oi.cloudfront.net/6742/image/5c23d550-07b5-11ec-8463-151a599f2d68-tHmTxrh.tn@2x.JPG,Handwritten 1880s school report cards.
district_schoolhouses_pre1899,Mattapoisett District Schoolhouses,image,image/jpeg,,Copies of photographs of Mattapoisett's district schoolhouses before the 1899 consolidation. Courtesy of the Mattapoisett Museum (0500.3.553).,"Mattapoisett, Massachusetts",District schools,41.6584,-70.8203,https://d8e7jbdw4fu0e.cloudfront.net/6742/4cd0e8f0-07b4-11ec-8463-151a599f2d68-vdW60fR.lg-nt@2x.jpg,https://d8e7jbdw4fu0e.cloudfront.net/6742/4cd0e8f0-07b4-11ec-8463-151a599f2d68-vdW60fR.sm@2x.jpg,https://d3f1jyudfg58oi.cloudfront.net/6742/image/4cd0e8f0-07b4-11ec-8463-151a599f2d68-tHmRDLM.tn@2x.JPG,A sheet of copied photographs of one-room schoolhouses.
school_distances_letter,Letter on School Distances,image,image/jpeg,,Letter to the Mattapoisett School Committee from Ansel Weeks listing road distances from the schoolhouse near Hammond's to other points in town. Courtesy of the Mattapoisett Museum (0500.3.554).,"Mattapoisett, Massachusetts",District schools,41.6650,-70.8550,https://d8e7jbdw4fu0e.cloudfront.net/6742/4feae840-07b6-11ec-8463-151a599f2d68-vdW6nkq.lg-nt@2x.jpg,https://d8e7jbdw4fu0e.cloudfront.net/6742/4feae840-07b6-11ec-8463-151a599f2d68-vdW6nkq.sm@2x.jpg,https://d3f1jyudfg58oi.cloudfront.net/6742/image/4feae840-07b6-11ec-8463-151a599f2d68-tHmUgG1.tn@2x.JPG,A handwritten 19th-century letter.
louis_birth_record,Birth Record of Joseph Louis Roberts Jr.,image,image/jpeg,1924,"Massachusetts return of birth for my grandfather Louis, born at 78 Tallman Street, New Bedford; his father's occupation is recorded as eyelet maker. (Detail.)","New Bedford, Massachusetts",Mills,41.6362,-70.9342,/objects/louis_birth_record_detail.jpg,/objects/louis_birth_record_detail.jpg,/objects/louis_birth_record_detail.jpg,"A 1924 Massachusetts birth return listing the child's name, date, parents, and occupations."
orr_high_school,Old Rochester Regional Senior High School,image,image/jpeg,,"Old Rochester Regional, the shared high school for Mattapoisett, Marion, and Rochester, opened in 1961. (Photograph, 2007.) Mattapoisett Museum, 0900.9.63.","Mattapoisett, Massachusetts",Consolidation,41.658,-70.823,https://d8e7jbdw4fu0e.cloudfront.net/6742/2f9a4b10-07c7-11ec-8463-151a599f2d68-vdW6szc.lg-nt@2x.jpg,https://d8e7jbdw4fu0e.cloudfront.net/6742/2f9a4b10-07c7-11ec-8463-151a599f2d68-vdW6szc.sm@2x.jpg,https://d3f1jyudfg58oi.cloudfront.net/6742/image/2f9a4b10-07c7-11ec-8463-151a599f2d68-vdW6szc.tn@2x.jpg,Color photograph of the brick entrance of Old Rochester Regional Senior High School.
